IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.243.139.243	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	97	4.09
47.76.166.41	443	443	TRUE	HKG	Asia Pacific	Hong Kong	45	4.08
8.219.103.65	2096	2096	TRUE	SIN	Asia Pacific	Singapore	56	4.07
47.250.159.165	80	443	TRUE	SIN	Asia Pacific	Singapore	56	4.06
47.243.243.14	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	49	4.06
8.219.153.237	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	178	4.06
47.238.138.232	80	443	TRUE	CGK	Asia Pacific	Jakarta	39	4.05
47.243.27.217	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	52	4.05
8.222.169.222	2096	2096	TRUE	SIN	Asia Pacific	Singapore	60	4.05
8.222.222.64	2087	2087	TRUE	SIN	Asia Pacific	Singapore	50	4.05
47.236.97.90	8443	8443	TRUE	SIN	Asia Pacific	Singapore	78	4.05
47.243.243.14	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	68	4.04
47.237.95.140	2083	2083	TRUE	SIN	Asia Pacific	Singapore	58	4.04
47.237.82.15	8443	8443	TRUE	SIN	Asia Pacific	Singapore	68	4.04
8.219.142.191	8443	8443	TRUE	SIN	Asia Pacific	Singapore	73	4.04
8.219.84.214	2096	2096	TRUE	SIN	Asia Pacific	Singapore	38	4.04
47.245.86.230	443	443	TRUE	SIN	Asia Pacific	Singapore	33	4.03
8.219.153.237	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	142	4.03
8.218.98.75	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	46	4.03
47.243.203.119	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	86	4.03
47.243.173.187	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	59	4.02
47.236.17.193	8443	8443	TRUE	SIN	Asia Pacific	Singapore	72	4.02
47.237.92.26	2053	2053	TRUE	SIN	Asia Pacific	Singapore	41	4.01
47.238.5.0	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	60	4.01
47.237.94.140	2096	2096	TRUE	SIN	Asia Pacific	Singapore	101	4.01
47.245.105.224	2096	2096	TRUE	SIN	Asia Pacific	Singapore	56	4
47.76.166.41	443	443	TRUE	HKG	Asia Pacific	Hong Kong	40	4
